,Algorithm,Map,Path_length,Iteration,Setup,Obstacle_type,Algorithm_Type,Q_obstacle
770,RRT_Star,C4A,188.0650207,1308.0,4.0,Concave,Probabilistic,2431
772,RRT_Star,C4A,191.7111664,794.0,4.0,Concave,Probabilistic,2431
774,RRT_Star,C4A,190.0323434,2764.0,3.0,Concave,Probabilistic,2431
776,RRT_Star,C4A,195.6975082,1214.0,3.0,Concave,Probabilistic,2431
778,RRT_Star,C4A,193.8081613,2254.0,3.0,Concave,Probabilistic,2431
780,RRT_Star,C4A,191.0475503,1419.0,3.0,Concave,Probabilistic,2431
782,RRT_Star,C4A,193.4558358,1921.0,3.0,Concave,Probabilistic,2431
784,RRT_Star,C4A,196.2930424,2934.0,3.0,Concave,Probabilistic,2431
786,RRT_Star,C4A,191.3562083,2125.0,3.0,Concave,Probabilistic,2431
788,RRT_Star,C4A,190.6556191,1956.0,3.0,Concave,Probabilistic,2431
790,RRT_Star,C4A,195.4318183,2292.0,3.0,Concave,Probabilistic,2431
792,RRT_Star,C4A,198.9960024,2854.0,3.0,Concave,Probabilistic,2431
794,RRT_Star,C4A,195.4153901,2460.0,2.0,Concave,Probabilistic,2431
796,RRT_Star,C4A,192.7762362,3756.0,2.0,Concave,Probabilistic,2431
798,RRT_Star,C4A,194.3233509,3286.0,2.0,Concave,Probabilistic,2431
800,RRT_Star,C4A,194.3571485,3434.0,2.0,Concave,Probabilistic,2431
802,RRT_Star,C4A,196.9654894,2943.0,2.0,Concave,Probabilistic,2431
804,RRT_Star,C4A,199.1267413,3889.0,2.0,Concave,Probabilistic,2431
806,RRT_Star,C4A,202.1549689,2301.0,2.0,Concave,Probabilistic,2431
808,RRT_Star,C4A,199.693945,2745.0,2.0,Concave,Probabilistic,2431
810,RRT_Star,C4A,196.9657693,3460.0,2.0,Concave,Probabilistic,2431
812,RRT_Star,C4A,197.1701632,4955.0,2.0,Concave,Probabilistic,2431
814,RRT_Star,C4A,209.9971634,19136.0,1.0,Concave,Probabilistic,2431
816,RRT_Star,C4A,214.811692,17068.0,1.0,Concave,Probabilistic,2431
818,RRT_Star,C4A,225.5533928,18127.0,1.0,Concave,Probabilistic,2431
820,RRT_Star,C4A,215.6874483,20657.0,1.0,Concave,Probabilistic,2431
822,RRT_Star,C4A,205.3822656,18481.0,1.0,Concave,Probabilistic,2431
824,RRT_Star,C4A,233.4021845,17652.0,1.0,Concave,Probabilistic,2431
826,RRT_Star,C4A,230.7158125,15588.0,1.0,Concave,Probabilistic,2431
828,RRT_Star,C4A,222.2269949,16165.0,1.0,Concave,Probabilistic,2431
830,RRT_Star,C4A,217.4645913,20449.0,1.0,Concave,Probabilistic,2431
832,RRT_Star,C4A,212.9515827,18787.0,1.0,Concave,Probabilistic,2431
